"quote"
"Be at war with your vices, at peace with your neighbors, and let every new year find you a better man."
"A good conscience is a continual Christmas."
"They who can give up essential liberty to obtain a little temporary safety deserve neither liberty nor safety."
"Where liberty is, there is my country."
"God grant that not only the love of liberty but a thorough knowledge of the rights of man may pervade all the nations of the earth, so that a philosopher may set his foot anywhere on its surface and say: 'This is my country.'"
"In this world nothing can be said to be certain, except death and taxes."
"Early to bed and early to rise makes a man healthy, wealthy and wise."
"Dost thou love life? Then do not squander time, for that is the stuff life is made of."
"Lost time is never found again."
"Never leave that till tomorrow which you can do today."
"One today is worth two tomorrows."
"A penny saved is a penny earned."
"Pay what you owe, and you’ll know what's your own."
"Content makes poor men rich; discontent makes rich men poor."
"Write injuries in dust, benefits in marble."
"A false friend and a shadow attend only while the sun shines."
"There was never a good war, or a bad peace."
"All wars are follies, very expensive and very mischievous ones."
"If we do not hang together, we shall surely hang separately."
"Guests, like fish, begin to smell after three days."
"There are three faithful friends - an old wife, an old dog, and ready money."
"The doors of wisdom are never shut."
"No nation was ever ruined by trade."
"If you would be loved, love, and be loveable."
"Even peace may be purchased at too high a price."
"Be slow in choosing a friend, slower in changing."
"Employ thy time well, if thou meanest to gain leisure."
"He who falls in love with himself will have no rivals."
"Rather go to bed with out dinner than to rise in debt."
"Take time for all things: great haste makes great waste."
"Where there's marriage without love, there will be love without marriage."
"Each year one vicious habit discarded, in time might make the worst of us good."
"There never was a truly great man that was not at the same time truly virtuous."
"He that would live in peace and at ease must not speak all he knows or all he sees."
"Let all your things have their places; let each part of your business have its time."
"If time be of all things the most precious, wasting time must be the greatest prodigality."
"I look upon death to be as necessary to our constitution as sleep. We shall rise refreshed in the morning."
"Leisure is the time for doing something useful. This leisure the diligent person will obtain the lazy one never."
"Without freedom of thought, there can be no such thing as wisdom - and no such thing as public liberty without freedom of speech."
"I wake up every morning at nine and grab for the morning paper. Then I look at the obituary page. If my name is not on it, I get up."
"There is no kind of dishonesty into which otherwise good people more easily and frequently fall than that of defrauding the government."
"For my own part, I wish the bald eagle had not been chosen the representative of our country. He is a bird of bad moral character. He does not get his living honestly."
"Time is money."
"You may delay, but time will not."
"Much Virtue in Herbs, little in Men."
"A true Friend is the best Possession."
"Diligence is the mother of good luck."
"If you have time don't wait for time."
"Time is an herb that cures all Diseases."
"'Tis not a Holiday that's not kept holy."
"With bounteous Cheer, Conclude the Year."
"He is ill cloth'd, who is bare of Virtue."
"There's a time to wink as well as to see."
"Time enough, always proves little enough."
"Love, Cough, & a Smoke, can't be well hid."
"If you would be loved, love and be lovable."
"Virtue and Happiness are Mother and Daughter."
